,name,search_count,ID,Team,status,total_earn
92,Jamal Sohail,56000,Blazemon,,"Active
",2034.0
93,Zhou Yang,2110000,bLink,Sun Gaming,"Active
",1959371.0
94,Zhou Yang,2110000,KingJ,,"Inactive
",72138.0
95,William Lee,44200000,Blitz,,"Active
",29320.0
96,Evgeniy Ree,4170000,Blizzy,Vega Squadron,"Active
",14463.0
97,Daniel Foster,23600000,Bloody Nine,,"Active
",1800.0
98,Vladislav Morozyuk,35300,blowyourbrain,,"Active
",12594.0
99,Ye Zhibiao,265000,BoBoKa,Invictus Gaming,"Active
",428244.0
100,Jun Kanehara,1320000,Bok,,"Active
",12514.0
101,Pittner Armand,14200,bOne7,,"Active
",324446.0
102,Marvin Rushton,90000,Boombacs,Clutch Gamers,"Active
",9085.0
103,Anurat Praianun,82,boombell,,"Active
",4160.0
104,Bill Oliver,28100000,Boris,,"Active
",1900.0
105,Samuel Svahn,57400,Boxi,Alliance,"Active
",
106,Braxton Paulson,23900,Brax,,"Active
",29324.0
107,Nick Caras,615000,BreakyCPK,,"Active
",
108,Bruno Carlucci,133000,Bruno,,"Inactive
",
109,Jonathan Bryle Santos De Guia,91400,bryle,,"Active
",6500.0
110,Muhammad Damar,76700,bubu,,"Active
",1381.0
111,Aleksandar Bukurecki,15400,bukka,,"Active
",
112,Kanishka Sosale,5300,BuLba,Evil Geniuses,"Active
",197798.0
113,Thithat Tachawattanakul,54,BungsellRotee,Alpha Red,"Active
",4393.0
114,Xu Zhilei,65600,BurNIng,Big God,"Active
",869433.0
115,Joni Fält,16000,Buugi,,"Active
",19344.0
116,Mark Adrian Gavin,643000,BYB,Execration,"ActiveValve Banned
",9912.0
117,Emilano Ito Gerotto Yamakawa,8620,c4t,,"Active
",44970.0
118,Clay Winkler,339000,Cak3z,,"Inactive
",1908.0
119,Mihai Antonio,493000,canceL^^,Kingdra,"Active
",18300.0
120,Austin Walsh,5280000,Capitalist,,"Active
",40.0
121,Souaib Hanaf,538,Carn,,"Inactive
",1352.0
122,Peng Chao,476000,carrot,We Are Young,"Active
",1294.0
123,James Palatolon John,74600,CartMaN,TaskUs Titans,"Active
",34867.0
124,Roman Lepokhin,159000,CaspeRRR,,"Active
",
125,Mark Pilar,2070000,Cast,TaskUs Titans,"Active
",58879.0
126,Quinn Callahan,406000,CC&C,OpTic Gaming,"Active
",116365.0
127,Semion Krivulya,19500,CemaTheSlayer,Vega Squadron,"Active
",98666.0
128,Wei Sheng Tan,240000,Chains,,"Active
",5896.0
129,Yang Shenyi,196000,Chalice,PSG.LGD,"Active
",230605.0
130,Zhang Chaowen,55100,Chao,,"Inactive
",
131,Cao An,70500,ChaoYue,Team Waooo,"Active
",15036.0
132,Vladimir Kuzmenko,129000,Chappie,,"Active
",21685.0
133,Rasmus Blomdin,19900,Chessie,,"Active
",107105.0
134,Joel Chan Jian Yong,34700,Chibix,,"Active
",4275.0
135,Li Chen,5350000,chisbug,Big God,"Active
",47858.0
136,Christopher Wåhlin,80700,Chrillee,,"Inactive
",3987.0
137,Eugene Kastrama,35200,chshrct,Double Dimension,"Active
",27305.0
138,Wong Hock Chuan,19300,ChuaN,Echo International,"Active
",713484.0
139,Evgeniy Makarov,188000,Chuvash,Team Empire,"Active
",3713.0
140,Aaron Kim,13000000,Clairvoyance,VGJ.Storm,"Active
",2800.0
141,Alexandru Craciunescu,28600,ComeWithMe,London eSports,"Active
",20859.0
142,Conrad Janzen,31800,Conrad,,"Inactive
",
143,Ai Xin,2500000,Cookie bear,,"Active
",1000.0
144,Zaur Shakhmurzaev,12900,Cooman,Double Dimension,"Active
",7100.0
145,Corey Wright,3010000,Corey,,"Inactive
",29320.0
146,Guilherme Silva Costábile,17800,Costabile,SG e-sports,"Active
",25711.0
147,Andreas Franck Nielsen,25800,Cr1t-,Evil Geniuses,"Active
",1036163.0
148,Petr Meluzin,34100,craNich,,"Active
",
149,Oleg Kolesnichenko,87100,Crazy,,"Active
",15429.0
150,Choi Jong-Bin,69000,Crio_J,,"Active
",1055.0
151,David Landmesser,467000,Crydasia,,"Retired
",843.0
152,Vladislav Krystanek,35000,Crystallize,Natus Vincere,"Active
",54321.0
153,Chen Tianyu,181000,Cty,EHOME,"Active
",375486.0
154,Long Zhan,2620000,Cy,Brave Heart,"Active
",629.0
155,Matthew Bailey,7620000,Cyborgmatt,Team Secret,"Active
",
156,Jung Dong-suk,72500,CyNiCaL,,"Inactive
",6199.0
157,Kaue Camuci,8680,Cys,,"Active
",4363.0
158,Julius Åberg,34300,cYso,,"Inactive
",400.0
159,Jun Liong Loh,14400,dabeliuteef,,"Inactive
",5944.0
160,Josef Bernhardsson,19500,DancingDragon,,"Active
",180.0
161,Song Runxi,1270000,dark,Keen Gaming,"Active
",34769.0
162,Xie Bin,574000,DD,Old Boys,"Inactive
",202660.0
163,Leong Fat-meng,19600,ddc,LGD.Forever Young,"Active
",1298189.0
164,Ruan Zhenghao,13500,DDR,Rock Gaming,"Active
",5474.0
165,Alan Salvati,153000,DDX-,,"Retired
",1625.0
166,Kok Yi Liong,246000,ddz,Team HighGround,"ActiveValve Banned
",12317.0
167,Jimmy Ho,9840000,DeMoN,,"Retired
",198173.0
168,Danil Ishutin,41000,Dendi,Natus Vincere,"Active
",784820.0
169,Huang Hao,1150000,destiny,Wings.Red,"Active
",306.0
170,Dmitry Minenkov,117000,Ditya Ra,,"Active
",112449.0
171,Djardel Jicko B. Mampusti,3640,DJ,Fnatic,"Active
",568326.0
172,Alexander Kucheria,155000,DkPhobos,Team Spirit,"Active
",379539.0
173,Dino Šavuk,70800,dnz,Elements Pro,"Active
",8104.0
174,Son Kyung-il,1480000,Doctor,MVP HOT6ix,"Active
",3171.0
175,Wang Zhenzhou,384000,Dog_7,TE-LIFE,"Active
",782.0
176,Lin Zikai,127000,doodle,Echo Gaming,"Active
",3596.0
177,Andy Stiles,580000,Draskyl,,"Active
",
178,Kim Larsson,1120000,Drayich,,"Retired
",30.0
179,Andrey Golubev,255000,Dread,,"Active
",34068.0
180,Randy Muhammad Sapoetra,12600,Dreamocel,BOOM ID,"Active
",8242.0
181,Xue Zhuorui,13000,DreamyU,,"Inactive
",1393.0
182,Dmitry Chumachenko,129000,Droog,,"Active
",
183,Kim Doo-young,256000,DuBu,Immortals,"Active
",456322.0
184,Erik Kamerling,171000,DurpDurp,Wheel Whreck,"Active
",4838.0
185,Heitor Pereira,301000,Duster,paiN Gaming,"Active
",105962.0
186,Hugo Bos,6920000,Dutch_Freak,,"Inactive
",59.0
187,Ding Zhenghao,41200,DXM,Aurora Esports club,"Active
",1062.0
188,Ding Cong,334000,Dy,Taichi Gaming,"Active
",3321.0
189,Shane Milke,45500,Eagle,,"Inactive
",2100.0
190,Sergey Slobodyanyk,124000,Ecnart,,"Active
",6353.0
191,Jerry Lundkvist,97300,EGM,,"Active
",667204.0
