,player_id,status,total_earn
207,Faith_bian,"Active
",1967009
208,FaN,"Active
",11970
209,Fata,"Active
",848523
210,Fear,"Active
",2488048
211,Feaver,"Active
",
212,Febby,"Active
",566029
213,Feero,"Active
",5630
214,Fenrir,"Active
",1282005
215,Ferrari_430,"Active
",553224
216,Fervian,"Active
",1826
217,Fey,"Active
",1330
218,Fishbone,"Inactive
",540
219,Five,"Active
",411
220,Flens,"Active
",200
221,Flow,"Inactive
",1400
222,FLUFFNSTUFF,"Active
",38179
223,Fly,"Active
",1430589
224,Fly.,"Inactive
",300
225,Flyby,"Active
",18095
226,FlyingZebra,"Inactive
",2640
227,Flysolo,"Active
",7803
228,fn,"Active
",205495
229,fng,"Active
",413931
230,Fogged,"Active
",19779
231,Fonte,"Inactive
",8614
232,Forev,"Active
",503261
233,Foxx,"Inactive
",1410
234,FrancisLee,"Active
",10250
235,Freeze,"Active
",173295
236,Frigoleet,"Retired
",2813
237,Fronz,"Active
",1005
238,Frost,"Active
",7860
239,fROZEN,"Inactive
",100
240,Funn1k,"Active
",403426
241,Funzii,"Inactive
",9033
242,Fusheng,"Active
",351
243,fy,"Active
",1282383
244,Fyms,"Active
",
245,FzFz,"Active
",1290
246,G,"Active
",405756
247,g0g1,"Active
",6316
248,Gabbi,"Active
",31463
249,Gambling,"Active
",3176
250,Garder,"Active
",704740
251,Gareth,"Active
",
252,garter,"Active
",8671
253,Gedrox,"Active
",1941
254,GeneRaL,"Active
",165564
255,german player,"Active
",1219
256,GGwpLanaya,"Active
",546
257,GH,"Active
",2584890
258,ghost,,
259,Ghostik,"Active
",185060
260,GiGA,"Inactive
",676
261,Gintoki,"ActiveMars Media Banned
",41115
262,Gio,"Active
",2300
263,gnoji,"Inactive
",5428
264,GoAudio,"Inactive
",710
265,Goblak,"Active
",66943
266,goddam,"Active
",29818
267,Godot,"Active
",10123
268,GoDz,"Active
",
269,goking,"Active
",3321
270,Gorec,"Inactive
",24183
271,Gorgc,"Active
",1953
272,GranDGranT,"Active
",
273,Greedy,"Active
",13448
274,guanzo,"Inactive
",2400
275,Gudii,"Inactive
",1646
276,Guvara,"Active
",6106
277,H4nn1,"Active
",61219
278,Handsken,"Active
",184851
279,HANNAH_MONTANA,"Retired
",2875
280,Hao,"Inactive
",1747535
281,Heen,"Active
",81656
282,Heromu,"Inactive
",
283,HesteJoe-Rotten,"Active
",103966
284,hex0r,"Retired
",94
285,hFn,"Active
",142198
286,Hook-,"Active
",7390
287,HooNji,"Active
",3322
288,Hot_Bid,"Active
",
289,Hugo,"Active
",652
290,Hy,"Active
",6156
291,Hyac,"Inactive
",140
292,hyhy,"Active
",39050
293,Hym,"Inactive
",27085
294,i w o,,
295,iAnnihilate,"Active
",7835
296,Ice,,
297,Iceberg,"Active
",63230
298,iceice,"Active
",1998632
299,iceiceice,"Active
",1292134
300,Icy,"Active
",41303
301,Ifrit,"Active
",6853
302,Illidan,"Active
",366205
303,ilLogic,"Active
",3552
304,iLLusionisT,"Active
",2519
305,iLTW,"Active
",188238
306,ima_sheep(sux),"Inactive
",2608
307,Inflame,"Active
",596715
308,InJuly,"Inactive
",217915
309,Inkvizitor,"Inactive
",543
310,Inmate,"Retired
",600
311,iNSaNiA,"Active
",2593
312,Inverno,"Active
",
313,inYourdreaM,"Active
",10049
314,ixmike88,"Active
",29953
315,j4,"Active
",45097
316,Jabbz,"Active
",3974
317,Jabz,"Active
",221449
318,Jackal,"Inactive
",5772
319,Jacko,"InactiveValve Banned
",714
320,jaH,"Inactive
",400
321,James,"Active
",15756
322,Jason,"Active
",6340
323,jdh,"Active
",11873
324,Jenkins,"Active
",2800
325,Jeppins,"Inactive
",724
326,JerAx,"Active
",1056710
327,Jericho,"Active
",4200
328,Jerry,"Active
",428
329,JessieVash,"Active
",24791
330,JesusSt1ck,"Inactive
",3260
331,Jeyo,"Active
",76336
332,Jhoven,"Inactive
",2280
333,JiaJia,"Active
",18961
334,jigglebilly,"Inactive
",300
335,Jixing,"ActiveMars Media Banned
",55043
336,JoHnNy,"Active
",35962
337,jonassomfan,"Active
",107780
338,Joraal,"Active
",1055
339,JotM,"Active
",32396
340,Jubei,"Active
",11615
341,Julz,"Active
",38372
342,June,"Active
",81780
343,JUST,"Active
",3100
344,justin,"Active
",100
345,JyC,"InactiveValve Banned
",240
346,JyU,"Inactive
",27067
347,Kabu,"Active
",44856
348,Kaci Aitchison,"Active
",
349,kacor,"Active
",21182
350,KaHT,"Active
",1751
351,Kai,"Active
",3320
352,kaidou,"Active
",6015
353,Kaka,"Active
",1475075
354,KaNG,"Active
",42182
355,KBBQ,"Active
",
356,Kebap,"Inactive
",8631
357,Kecik Imba,"Active
",34854
358,Kefka,"Active
",8783
359,KeyaNo,"Inactive
",5400
360,Keyser,"Active
",34174
361,KheZu,"Active
",164799
362,Kikoni,"Active
",312
363,Kim0,"Active
",58482
364,KingJ,"Inactive
",72138
365,KingR,"Active
",50644
366,Kingrd,"Active
",143027
367,Kingteka,"Active
",52008
368,Kipspul,"Active
",
369,Klasynky,"Active
",799
370,Klotz22,"Active
",758
371,Koala,,
372,kole,"Active
",984
373,Korok,"Inactive
",23138
374,Kotarō Hayama,"Active
",59778
375,KotLGuy,"Active
",
376,kpii,"Active
",1488337
377,Kpoptosis,"Inactive
",
378,KSi,"Inactive
",7029
379,Kuku,"Active
",472105
380,KuroKy,"Active
",3629264
381,KvH,"Active
",3714
382,Kyle,"Active
",160417
383,KyrieDepra,"Inactive
",
384,KyT,"Active
",419
385,kYxY,"Active
",120578
386,L0lik_O,"Active
",1501
387,Lacoste,"Retired
",7765
388,LaKelz,"Active
",12090
389,Lanaro,"Active
",8067
390,Lance,,
391,LaNm,"Active
",1073467
392,Lapiz,"Inactive
",2038
393,LD,"Active
",
394,le,"Active
",39162
395,LeBronDota,"Active
",18407
396,LeoStyle-,"Active
",8628
397,Ler_GG,"Inactive
",
398,Li,"Active
",13057
399,Liekkas,"Active
",21529
400,LighTofHeaveN,"Retired
",269862
401,Lil,"Active
",906474
402,Lil_kin6,"Active
",2440
403,Limmp,"Active
",195878
404,Lin,"ActiveMars Media Banned
",179920
405,ling,"Active
",8219
406,Link,"Inactive
",2937
407,Liposa,"Active
",25332
408,lizZard,"Active
",1833
409,Loda,"Active
",692756
410,longb,"Active
",1997
411,LongDD,,
412,Loomdun,,
413,lordboonz,,
414,Lpc,,
415,lt,,
416,Lubby,,
417,Luft,,
418,LuLu^^,,
419,Luminous,,
420,Lwy,,
421,Lyrical,,
422,Machine,,
423,Madara,,
424,Maden,,
425,Maelk,,
426,MafiA,,
427,Mag,,
428,MagE-,,
429,MaGoma,,
430,maiki,,
431,Mambos,,
432,Mandy,,
433,Mango_Banana,,
